E_1,Pu1_1,E_hybrid_1,seedNumber_1,seedEbest_1,seedNumber_3,E_diff_12,pumin1_4u,pumin1_4d,pumin5_8d
-15.7,0.000120612,-22.71,10,-2.57,4.0,-7.240000000000002,0.1446099,0.113557,0.03909206
-16.33,3.31539e-05,-24.5,9,-3.4,4.0,-7.180000000000003,0.9314081,0.1147573,0.01370492
-16.84,1.37022e-05,-31.1,8,-3.29,2.0,-8.93,0.1147573,0.01370492,0.1589336
-19.93,6.16518e-06,-33.0,8,-7.24,0.0,-7.190000000000001,0.03142378,0.2272357,0.04591558
-17.38,4.31492e-06,-29.01,12,-5.44,4.0,-11.18,0.0422734,0.1968275,0.01679513
-17.65,9.83634e-05,-27.61,9,-8.88,4.0,-5.740000000000002,0.2176362,0.2356658,0.2276047
-21.36,0.00031771,-28.8,11,-7.57,4.0,-9.8,0.4672354,0.2276047,0.1010594
-19.38,0.00489959,-23.46,6,-4.28,4.0,-9.59,0.2276047,0.1010594,0.1677646
-23.94,0.000648602,-32.67,8,-7.68,4.0,-6.329999999999998,0.1010594,0.2774619,0.377893
-20.99,0.000268062,-30.28,8,-6.27,4.0,-7.920000000000002,0.1010594,0.377893,0.4021631
-15.84,3.92944e-05,-29.89,5,-4.92,4.0,-8.219999999999999,0.377893,0.4529929,0.07675288
-22.35,1.01789e-06,-35.3,10,-7.22,4.0,-6.899999999999999,0.4529929,0.04287036,0.02144716
-20.27,1.92527e-07,-34.01,8,-5.4,4.0,-7.550000000000001,0.07675288,0.02144716,0.2459003
-16.76,1.11774e-07,-31.82,8,-2.1,4.0,-4.599999999999998,0.04287036,0.02144716,0.09136439
-16.34,7.75577e-07,-27.41,9,-4.39,4.0,-5.100000000000001,0.116592,0.1332658,0.1349864
-13.19,1.3937e-05,-21.15,10,-2.99,4.0,-6.660000000000002,0.09136439,0.1349864,0.5176745
-17.12,0.00265761,-21.53,11,-4.26,4.0,-4.59,0.1969596,0.5176745,0.7465122
-18.95,0.000547244,-35.86,8,-5.91,0.0,-9.490000000000002,0.1550608,0.1020263,0.2478596
-5.52,0.699885,-6.69,4,-2.6,4.0,0.0,0.9221502,,
-22.63,0.000163766,-38.39,11,-7.36,2.0,-7.18,0.1289625,0.2253928,0.5274446
-12.15,0.00676665,-22.26,10,-3.9,4.0,-5.429999999999998,0.1977068,0.05745341,0.1174319
-12.06,0.0100025,-20.74,8,-2.74,4.0,-7.130000000000001,0.06715869,0.1174319,0.9314081
-14.21,0.00983393,-20.74,8,-2.62,4.0,-5.18,0.05745341,0.9398422,0.113557
-14.3,0.00481704,-21.07,8,-2.49,4.0,-7.16,0.1174319,0.9289844,0.113557
-12.28,5.56759e-06,-26.65,10,-2.86,2.0,-8.53,0.03909206,0.04572121,0.142404
-14.22,4.06628e-07,-32.49,5,-2.0,2.0,-6.3199999999999985,0.01370492,0.1589336,0.142404
-12.09,4.81941e-07,-30.97,7,-1.89,4.0,-8.86,0.01370492,0.142404,0.0829695
-13.77,1.00915e-05,-31.96,10,-5.81,4.0,-10.580000000000002,0.1794354,0.1383157,0.417668
-19.71,7.0629e-06,-33.72,11,-5.49,0.0,-6.669999999999998,0.5400521,0.03142378,0.3735154
-13.8,8.23001e-06,-29.91,6,-5.65,0.0,-6.649999999999999,0.03142378,0.4427015,0.1968275
-18.45,0.000958762,-26.39,10,-4.05,4.0,-9.23,0.1468567,0.10166,0.377893
-10.07,3.12434e-06,-20.95,5,-1.91,2.0,-7.289999999999999,0.02144716,0.09136439,0.2282061
-15.17,2.59168e-06,-25.44,8,-2.36,4.0,-6.76,0.09136439,0.2282061,0.1349864
-12.09,0.00676665,-16.81,9,-3.09,4.0,-8.16,0.1349864,0.7465122,0.9129659
-10.47,0.0910888,-13.19,9,-3.87,4.0,0.0,0.7465122,0.9221502,0.8955241
-20.91,0.000605981,-34.2,10,-6.34,6.0,-11.129999999999999,0.1054402,0.1253804,0.8462607
-20.67,0.0103482,-30.63,10,-9.89,4.0,-9.309999999999999,0.5510385,0.5722214,0.1289625
-15.28,0.0012371,-31.78,11,-6.45,4.0,-12.110000000000001,0.1970317,0.2083737,0.4819116
