Pu1_1,Pu1_1_log
0.000158294,-8.751056494511994
0.000259105,-8.2582771730139
0.00473588,-5.352587719559279
2.13191e-07,-15.36107735942943
4.98478e-05,-9.906536194927481
4.50161e-05,-10.008490354403385
7.18394e-06,-11.84366257889235
2.078e-06,-13.084104665287239
0.00220453,-6.117240944730866
1.81388e-06,-13.220042360609424
2.87126e-10,-21.971099972121692
7.12229e-05,-9.549696162044448
0.000363973,-7.918430868902871
0.000200808,-8.513161330302866
4.81822e-05,-9.940520899719575
0.000424117,-7.765501197401466
0.00162361,-6.423103213865998
0.00524419,-5.250634481852985
0.00465609,-5.369579238842913
7.62696e-09,-18.691576498304087
0.0301846,-3.5004234184365917
0.00205966,-6.185214358346347
0.000575865,-7.459637299738495
0.00788481,-4.842817155243
2.20507e-05,-10.722166210543568
0.00209496,-6.16822081886907
7.55965e-06,-11.792685665140835
1.25861e-05,-11.282917527555009
0.00037021,-7.90144014576399
0.000282081,-8.173316294227407
1.02645e-05,-11.486819217885749
0.000431386,-7.748507277016108
0.000135846,-8.903988666765379
2.96906e-06,-12.727265153562326
0.000140542,-8.870004181477515
0.000108921,-9.12488770915055
3.48878e-05,-10.263373360070371
0.0339972,-3.381477110698342
0.000851242,-7.068814098488913
9.11336e-06,-11.60576908922528
0.000416972,-7.782491484702859
3.28774e-06,-12.625310159322758
1.63806e-06,-13.321997943167629
0.00086583,-7.051821973522042
1.14646e-06,-13.678831624049057
0.00775196,-4.859809564365705
0.0112659,-4.4859748148138765
0.00154291,-6.474085035234852
4.46408e-06,-12.319447411898892
0.000880668,-7.0348298475467175
2.56944e-05,-10.569237488639185
0.000659717,-7.323699602778401
0.0114589,-4.468988558340893
0.00788481,-4.842817155243
0.0114589,-4.468988558340893
0.0010089,-6.89889465054994
7.49662e-07,-14.103643398663465
0.000116582,-9.056915669892723
1.04404e-05,-11.469827662067505
0.0211258,-3.857260236633458
0.00379721,-5.573488692440663
0.00176758,-6.3381438995488
1.19635e-07,-15.938820396100772
0.00216738,-6.134236214163982
0.000682523,-7.28971433183928
1.81388e-06,-13.220042360609424
0.00102619,-6.881902364193034
0.00162361,-6.423103213865998
7.00229e-05,-9.566688226557329
0.00248298,-5.998295827261
1.19606e-05,-11.333892643476041
7.95501e-06,-11.741708639104289
0.000108921,-9.12488770915055
