y_pred,target_file,reliability_score,decision_score,entropy,id2
0,MERS.fasta,0.621983183989293,-0.934256728967843,0.9566293111980724,AC-114-115
0,MERS.fasta,0.6059631869819047,-0.8095544952424698,0.9673552950988852,AC-14-15
0,MERS.fasta,0.6034730063244119,-0.7901214800415268,0.9688827276188704,AC-195-196
0,MERS.fasta,0.6253845144467272,-0.9606479449411665,0.9541501738955572,AC-197-198
0,MERS.fasta,0.7760858889290824,-2.395966483329389,0.7672504250878792,AC-206-207
0,MERS.fasta,0.6062665247921999,-0.811920942187547,0.9671666747285502,AC-222-223
0,MERS.fasta,0.5306158223982127,-0.2207258469070876,0.9972937488289286,AC-236-237
0,MERS.fasta,0.5276828085595364,-0.1978883828633031,0.9977876851902976,AC-251-252
0,MERS.fasta,0.5965335322278574,-0.7359153285673683,0.972942265873312,AC-301-302
0,MERS.fasta,0.5712854741620889,-0.5383628488328104,0.9852874664530188,AC-312-313
0,MERS.fasta,0.5819155939985775,-0.6215662220791999,0.9805510019892606,AC-317-318
0,MERS.fasta,0.5287362327907886,-0.2060895875563226,0.9976160148999992,AC-336-337
0,MERS.fasta,0.5246591063126553,-0.1743547891832569,0.998244764511812,AC-339-340
0,MERS.fasta,0.6208183976572885,-0.9252114031678736,0.9574619622458336,AC-354-355
0,MERS.fasta,0.5378164268080443,-0.2768348379291671,0.9958697121499192,AC-363-364
0,MERS.fasta,0.6342523698761101,-1.0292849972399705,0.947350962475123,AC-39-40
0,MERS.fasta,0.6354758482144001,-1.038734111787978,0.9463746086702636,AC-390-391
0,MERS.fasta,0.6161098695240335,-0.8886092978792444,0.9607432268212316,AC-395-396
0,MERS.fasta,0.6519080982763666,-1.2009451319717228,0.9323524078692332,AC-404-405
0,MERS.fasta,0.6024530535517165,-0.7821588617363092,0.969497551500979,AC-415-416
0,MERS.fasta,0.6336442012510499,-1.0245860882857074,0.9478328252937316,AC-425-426
0,MERS.fasta,0.5330037098616314,-0.2393260877913148,0.9968548174283705,AC-450-451
0,MERS.fasta,0.6658069314211906,-1.321021251212024,0.9191531710184992,AC-459-460
0,MERS.fasta,0.5900857328373144,-0.6854970780319327,0.9764554292941352,AC-50-51
0,MERS.fasta,0.7111976988612371,-1.7324960729530532,0.8671690698712456,AC-519-520
0,MERS.fasta,0.6345313080157909,-1.0314397376840387,0.947129185465721,AC-543-544
