id2,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
AU-147-148,0.8717862484069551,-0.3436290017472965,-0.2264521371851962,0.9765474816807801,0.08921144646965676,-0.34125747913951554,-0.30464201336934954,0.5205788052326362,0.20848822805166853,-0.8743562780074438,1.15789325109016,0.1969149091850694,-0.5983801535882849,1
AU-182-183,-0.24464942514632979,-0.1619895160022288,0.6815108991226367,0.8253018084876111,1.0045984624191786,-0.09128131494709854,-0.7650645543883627,0.5205788052326362,0.20848822805166853,-0.6213289109268122,-0.10192625534630359,0.7241340307339065,0.6396455248227454,1
AU-188-189,0.2620620276883278,-0.34680708824996165,0.08879922342366925,0.6168778929897076,-0.8261755694798651,-0.16905167714029523,-1.0702283315753827,0.5205788052326362,0.20848822805166853,0.7345670613581541,-0.6780967080193249,1.7974898053462847,-0.8193618647029912,1
AU-194-195,-0.12493188409198758,-0.3492719760593264,-0.3118189245604896,0.024806416221326472,-1.283869077454626,0.003154124858925586,-0.5294995334018907,0.5205788052326362,0.20848822805166853,1.8522235606390953,0.261618051348311,-0.8802703083409913,-0.9878382346368315,1
AU-198-199,0.6908178723945771,-0.3499208506844054,-0.37114664228893285,0.31991992489092475,-0.8261755694798651,-0.2079368582368931,-0.047661990475016916,0.5205788052326362,0.20848822805166853,-0.884921716855026,1.6491233432291181,-0.9711577487189237,-0.5883098512727211,0
AU-200-201,0.8021830268637328,-0.3499324949504514,-0.2615582185647052,0.570766407260083,-0.36848206150510415,2.014073490140146,-0.2029207543070097,0.5205788052326362,0.20848822805166853,-0.9360560250916042,-0.10396229293029602,-0.9711577487189237,0.38885177650427816,0
AU-207-208,1.9715171487898664,-0.34956464284049527,0.13004052964879428,1.5796857150242718,-0.8261755694798651,1.2697000234338378,-0.5187920324479605,0.5205788052326362,0.20848822805166853,-1.0306946722615877,-0.9742049406828446,-0.26230967635440744,-0.2431671870431993,1
AU-282-283,0.8634338618217681,-0.20504221539106657,-0.38251515200309893,1.0558592371357345,0.5469049544444177,1.1808196094987562,0.4502368038827531,0.5205788052326362,0.20848822805166853,-0.05856244740516448,-0.17583637431404064,-0.32124402790568335,-0.48619350133651995,1
AU-294-295,1.2894055776662885,2.9769416718475306,5.256208415029707,2.3562031347111514,-1.283869077454626,-0.18016172888218018,0.34316179434344785,-1.6222688349110064,0.20848822805166853,0.5584529002507712,-0.6548779699717328,-0.87407828521604,-0.6898365239745186,0
AU-374-375,1.6151486544885687,-0.3442464839015907,-0.3991968163823139,0.4250541123544691,-2.199256093404148,1.8640877916246958,1.5745244040454593,-1.6222688349110064,0.20848822805166853,0.17449033365745045,1.2418267298987173,-1.0175689449707972,-0.6644713567103161,1
AU-447-448,0.6657607126390171,-0.1619895160022288,-0.3917960962570361,0.8621909970713114,0.5469049544444177,0.3531207547283092,-0.6526357943720922,0.5205788052326362,0.20848822805166853,-0.07950199487128412,-0.7164759482914604,0.8624162212403798,2.0868357490666445,0
AU-541-542,1.116789588239097,-0.3362447811927196,-0.3984990543162749,0.6002777581270428,0.08921144646965676,1.95852323143072,-0.1547370000143219,0.5205788052326362,0.20848822805166853,0.568267271317923,1.7684658748631021,-0.888819204401331,-0.7998482388585952,1
AU-591-592,-0.5620401153834239,-0.20266631464227872,0.32114968735171345,0.5412550563931231,1.0045984624191786,-0.3245924015266876,-0.6901120477108487,0.5205788052326362,0.20848822805166853,0.25247527880763787,-0.47077635143148755,0.8904551860274903,-0.8906935450425488,1
AU-631-632,0.20081119273029252,2.1342446258533125,0.06561365841959307,1.3177724760800031,-1.283869077454626,-0.7301092901054975,-0.08513824381377347,0.5205788052326362,0.20848822805166853,0.09260437772617781,-0.0671890631034038,-0.3015845505265696,0.6098936279960162,1
AU-756-757,0.9859355317378395,3.14290186771583,4.649018613511951,2.1477792192132474,-1.283869077454626,0.8308529796293725,0.20396428194235078,0.5205788052326362,0.20848822805166853,-0.9370717180398329,-1.1997312689656634,0.6625525239878456,-0.39397881496134673,0
GU-114-115,1.5706025927009064,-0.34772988373209074,-0.39575513897351894,0.886168969650716,-0.36848206150510415,1.3419153597560916,0.45559055435971846,-1.6222688349110064,0.20848822805166853,-0.8733095180548525,-0.6125625722002023,-0.3828775033426849,-0.6471620404140341,1
GU-129-130,1.2949738353897462,-0.34077352694460816,-0.3973780817881361,0.7810347821871717,0.08921144646965676,0.05314935769740889,0.3404849191049653,0.5205788052326362,0.20848822805166853,0.05770448773978642,-0.7859153760257063,-0.20571066785227315,-0.14921473972724567,1
GU-140-141,0.6852496146711194,-0.3470256744793887,-0.39142594976473155,0.4195207340669139,0.08921144646965676,0.9586185746610523,0.5412505619911628,0.5205788052326362,0.20848822805166853,0.6390362645216766,-0.3805583851036863,-0.7981674327566907,-0.8071509111771185,1
GU-205-206,2.436466668698591,-0.349994954759917,-0.39728638640708797,1.1462377491657993,-3.1146431093536697,2.608461258331004,1.504925647844911,-1.6222688349110064,0.20848822805166853,-1.0306946722615877,-0.9742049406828446,-0.12880999743297367,-0.2431671870431993,0
